Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Police,1461609335,1524926045,Santa Rosa Officer Involved Shooting Data,237,119,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Officer-Involved-Shooting-Data/rm7n-m9k3,1524925247,734,1
Government,1487964656,1523620811,Stale Dated Checks,48,471,"['checks', 'stopped', 'canceled', 'stopped checks', 'canceled checks', 'stale dated', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Stale-Dated-Checks/7zt2-w5w6,1509139943,429,16
Government,1522788319,1524843073,Sonoma County Rebuilding Permits,21,467,"['sonoma fire complex', 'fire', 'building permits', 'permits', 'building', '2017', 'sonoma county', 'parcel', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Sonoma-County-Rebuilding-Permits/652y-5ihx,1524841538,26,2
Fire,1498662872,1524888112,Fire Department Homeless Related Incidents,324,117,"['fire', 'homeless', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Fire/Fire-Department-Homeless-Related-Incidents/8mtj-m7vu,1524887964,305,2
Development,1488837517,1519921523,Building Inspections Schedule for Today,319,110,"['building', 'ped', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/Building-Inspections-Schedule-for-Today/sjmy-iuku,1519920565,419,59
Police,1489705583,1521840028,PD_Arrests_By_Totals,255,108,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Arrests_By_Totals/xpmh-t4ih,1521829266,409,37
Police,1489705854,1524002817,PD_Citation_By_Totals,262,103,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Citation_By_Totals/vygx-e74a,1523988560,409,12
Police,1489706167,1521840957,PD_Traffic_Collisions,180,97,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Traffic_Collisions/irfm-agh5,1521829842,409,37
Government,1512760400,1518813836,SoCo Alert Details,24,363,"['soco alert', 'fire', 'emergency', '2017', 'residance', 'fire complex', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/SoCo-Alert-Details/v9hv-5zec,1518813111,142,72
Government,1501867349,1515605119,Homeless Dedicated Housing,18,353,"['housing inventory count', 'rapid rehousing', 'emergency shelter', 'permanent supportive housing', 'transitional housing', 'homeless', 'inventory', 'count', 'hic', 'hud', 'housing and urban development', 'bed', 'households', 'children', 'veterans', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Homeless-Dedicated-Housing/4svx-khws,1524167468,268,128
Water Department,1481840793,1522792940,Water Use Per Capita Per Day,282,94,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Water-Use-Per-Capita-Per-Day/t3r2-ikfy,1522792884,500,26
Fire,1481053702,1522257118,FD Performance Measures Spreadsheet,408,89,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Fire/FD-Performance-Measures-Spreadsheet/pc8g-puqu,1522256889,509,32
Office of Community Engagement,1491338524,1523554786,OCE Performance Measures Dataset,301,89,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Office-of-Community-Engagement/OCE-Performance-Measures-Dataset/drcq-zqm3,1523554780,390,17
Recreation and Culture,1479237675,1512423508,Activity Registrations,203,84,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/Activity-Registrations/asxs-i36r,1512420900,530,146
Government,1491695549,1491696989,PRA And Council Action,227,83,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/PRA-And-Council-Action/itrn-eh8n,1491696964,386,386
Development,1484840473,1522857075,PED_NewHousingPermitsNotYetIssuedDetail,238,80,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/PED_NewHousingPermitsNotYetIssuedDetail/3kcf-8ndy,1522857063,465,25
Transportation,1491868137,1522857703,TRANSIT_Ridership,306,78,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/TRANSIT_Ridership/75bk-jhki,1522857507,384,25
Police,1489705972,1521843171,PD_Communication_Bureau,184,76,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Communication_Bureau/2me7-q4bm,1521841962,409,37
Government,1473357683,1524659587,Sonoma County Boards & Positions,28,262,"['board', 'maddy', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Sonoma-County-Boards-Positions/txiu-tw37,1497357009,598,4
Government,1501535861,1515605268,"Point In Time Unsheltered Homeless Census, 2017 Data By Age",12,256,"['homeless', 'inventory', 'county', 'location', 'count', 'age', 'hud', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Point-In-Time-Unsheltered-Homeless-Census-2017-Dat/kftt-3um9,1515605195,272,129
